id,abb,info,geb,tod,sex,gebOrt,todOrt
11527,NULL,Egg von Hungersbach; Georg Siegmund (1586–1646); Kämmerer,1586,1646,m,,Ratzenegg in Kärnten
11528,NULL,Egg von Hungersbach; Georg Hannibal (1627–1702),1627,1702,m,Klagenfurt am Wörthersee,Regensburg
11529,NULL,Egg von Hungersbach; Franz Joseph (1510–    ),1510,,m,Hungersbach in der Krain,
11530,NULL,Egg von Hungersbach; Franziska (1681–1739),1681,1739,w,,Wien
11531,F,Isenburg; Salentin (1532–1610); Erzbischof von Köln,1532,1610,m,Isenburg im Westerwald,Arenfels am Rhein
11532,S,Isenburg; Ernst (1584–1664); Kämmerer,1584,1664,m,Grenzau im Westerwald,Brüssel:Kathedrale
11533,NULL,Isenburg; Salentin (1580–1619),1580,1619,m,,Prag
11534,NULL,Drugeth von Homonna; Georg (1555–    ); Truchsess,1555,,m,Homenau,
11535,NULL,Stadl; Erasam (1510–1578),1510,1578,m,Stadl an der Raab,Riegersburg in der Steiermark:Martinskirche
11536,NULL,Herberstein; Johann (1472–1535); Edelknabe,1472,1535,m,Wippach in der Krain,
11537,NULL,Herberstein; Kaspar (1515–1572); Obersthofmeister,1515,1572,m,Neuberg am Ringkogel,Graz
11538,S,Herberstein; Johann Siegmund (1555–1611); Hofkriegsrat,1555,1611,m,Neuberg am Ringkogel,
11539,NULL,Herberstein; Johann Albrecht (1590–    ); Hofkriegsrat,1590,,m,Neuberg am Ringkogel,
11540,NULL,Manlich; Simon (1470–1517),1470,1517,m,,Augsburg
11541,P,Manlich; Melchior (1513–1576),1513,1576,m,Augsburg,Freudenberg in der Oberpfalz
11542,NULL,Manlich; Matthias (1499–1559),1499,1559,m,Augsburg,
11543,P,Manlich; Magdalena (1503–1563),1503,1563,w,Augsburg,
11544,NULL,Manlich; Simon (1508–1547),1508,1547,m,Augsburg,
11545,NULL,Liebenthal; Peter (1580–    ); Kämmerer,1580,,m,Soldin in der Neumark,
11546,NULL,Altensteig; Adam (1540–    ); Hofsekretär,1540,,m,,
11547,NULL,Hueber; Jakob (1530–    ); Hofkammersekretär,1530,,m,,
11548,NULL,Herberstein; Johann Kaspar (1585–1628); Mundschenk,1585,1628,m,Neuberg am Ringkogel,
11549,F,Drugeth von Homonna; Georg (1583–1620),1583,1620,m,Homenau,Tyrnau
11550,P,Goëss; Damian (1502–1574),1502,1574,m,Alenquer,Alcobaça
11551,NULL,Goëss; Emanuel (1540–    ),1540,,m,Löwen in Brabant,
11552,NULL,Goëss; Franz (1580–    ),1580,,m,Löwen in Brabant,
11553,NULL,Goëss; Anton (1620–    ),1620,,m,Brüssel,
11554,P,Goëss; Peter (1667–1716); Landeshauptmann von Kärnten,1667,1716,m,,Klagenfurt am Wörthersee
11555,NULL,Zinzendorf; Christoph (1460–1535); Oberstjägermeister,1460,1535,m,,
11556,NULL,Zinzendorf; Stephan (1490–1548),1490,1548,m,,
11557,NULL,Zinzendorf; Johann Adam (1520–1562),1520,1562,m,,
11558,NULL,Zinzendorf; Johann Christoph (1550–1591),1550,1591,m,,
11559,NULL,Zinzendorf; Johann (1507–1552),1507,1552,m,,
11560,NULL,Zinzendorf; Johann Friedrich (1546–1600),1546,1600,m,,Gresten
11561,NULL,Zinzendorf; Georg Christian (1580–    ),1580,,m,,
11562,NULL,Zinzendorf; Alexander (1541–1577),1541,1577,m,,Gresten
11563,NULL,Czernczitzky von Katzowa; Johann (1520–1561),1520,1561,m,Neustadt an der Mettau,
11564,NULL,Czernczitzky von Katzowa; Johann Burkhard (1550–1585); Truchsess,1550,1585,m,Neustadt an der Mettau,Chropyně
11565,S,Zahradek; Wenzel (1595–1647); Kämmerer,1595,1647,m,Rottowitz,Pilsen
11566,P,Schönfeld; Niklas (1588–1663); Hofkriegsrat,1588,1663,m,,Prag
11567,NULL,Schönfeld; Rudolf (1627–1684),1627,1684,m,,Setsch im Eisengebirge
11568,NULL,Schönfeld; Polyxena (1638–1694),1638,1694,w,,Prag
11569,NULL,Schönfeld; Joseph Franz (1668–1737),1668,1737,m,Prag,Zaječice
11570,NULL,Schlick; Hieronym (1494–1551),1494,1551,m,Schlackenwerth,
11571,NULL,Schlick; Joachim (1520–1572),1520,1572,m,Schlackenwerth,
11572,NULL,Schlick; Ludwig (1545–1575),1545,1575,m,Schlackenwerth,
11573,NULL,Schlick; Joachim Andreas (1569–1621); Edelknabe,1569,1621,m,Schlackenwerth,Prag
11574,NULL,Zierotin; Angela (1625–1695),1625,1695,w,,
11575,NULL,Michna von Waizenhofen; Wenzel (1610–1667),1610,1667,m,Prag,Prag
11576,NULL,Michna von Waizenhofen; Polyxena (1614–1650),1614,1650,w,Prag,
11577,NULL,Tschirnhaus; Friedrich (1575–1614); Kämmerer,1575,1614,m,Mittelwalde in Schlesien,Schönfeld an der Neiße
11578,NULL,Annenberg; Karl Heinrich (1625–    ),1625,,m,,
11579,NULL,Annenberg; Johann Arbogast (1630–    ),1630,,m,,
11580,NULL,Boskowitz von Schwarzenberg; Johann (1530–1597); Truchsess,1530,1597,m,Schwarzenberg in Mähren,Brünn in Mähren:Minoritenkloster
11581,P,Boskowitz von Schwarzenberg; Anna (1575–1625),1575,1625,w,Wien,Blumenau in Mähren
11582,P,Boskowitz von Schwarzenberg; Katharina (1579–1637),1579,1637,w,Wien,Butschowitz in Mähren
11583,NULL,Paczensky von Tenczin; Wenzel (1595–1661),1595,1661,m,,
11584,S,Podiebrad; Georg (1420–1471); König von Böhmen,1420,1471,m,Podiebrad,Prag
11585,F,Podiebrad; Heinrich (1448–1498); Landeshauptmann von Böhmen,1448,1498,m,Podiebrad,Glatz
11586,M,Podiebrad; Karl (1476–1536); Landeshauptmann von Böhmen,1476,1536,m,Glatz,Frankenstein in Schlesien
11587,NULL,Podiebrad; Heinrich (1507–1548); Landesherr von Bernstadt,1507,1548,m,,Bernstadt an der Weide
11588,M,Podiebrad; Karl (1545–1617); Oberlandeshauptmann von Schlesien,1545,1617,m,Oels,Oels
11589,NULL,Hase von Hasenburg; Margarita (1557–1603),1557,1603,w,Raudnitz an der Elbe,
11590,NULL,Lobkowicz; Niklas (1390–1441),1390,1441,m,,Preßnitz im Erzgebirge
11591,NULL,Lobkowicz; Niklas (1420–1462),1420,1462,m,,Hassenstein
11592,NULL,Lobkowicz; Johann (1450–1517),1450,1517,m,Hassenstein,Kaaden an der Eger
11593,NULL,Lobkowicz; Niklas (1455–1500),1455,1500,m,Hassenstein,
11594,S,Lobkowicz; Bosel (1462–1510),1462,1510,m,Hassenstein,Hassenstein
11595,NULL,Lobkowicz; Wenzel (1490–1520),1490,1520,m,Hassenstein,
11596,NULL,Lobkowicz; Bosel Felix (1517–1583),1517,1583,m,Hassenstein,Ličkov
11597,NULL,Lobkowicz; Bosel Joachim (1546–1605); Vorschneider,1546,1605,m,Hassenstein,Prag
11598,NULL,Trczka von Leipa; Johann (1495–1540),1495,1540,m,,
11599,NULL,Trczka von Leipa; Johanna (1540–1597),1540,1597,w,,
11600,S,Habsburg; Ferdinand Karl (1628–1662); Landesherr von Tirol,1628,1662,m,Innsbruck,Kaltern an der Weinstraße
11601,S,Lannoy; Karl (1482–1527),1482,1527,m,Valenciennes,Gaeta
11603,S,Renesse; Renat (1584–1637); Kämmerer,1584,1637,m,Warfusée,Lüttich
11604,NULL,Perrenot de Granvelle; Thomas (1521–1571),1521,1571,m,Ornans,Antwerpen
11605,NULL,Perrenot de Granvelle; Franz (1550–1606),1550,1606,m,,Prag
11606,NULL,Perrenot de Granvelle; Petronella (1560–1599),1560,1599,w,,
11607,NULL,Oyselay; Peter Anton (1540–1602),1540,1602,m,,
11608,NULL,Oyselay; Franz Thomas (1589–1629); Kämmerer,1589,1629,m,,Besançon
11609,NULL,Oyselay; Eugen Leopold (1612–1637); Kämmerer,1612,1637,m,,Besançon
11610,NULL,Habsburg; Karolina (1591–1662),1591,1662,w,Prag,Mechelen
11611,P,Perrenot de Granvelle; Niklas (1484–1550),1484,1550,m,Ornans,Augsburg
11612,P,Perrenot de Granvelle; Anton (1517–1586); Erzbischof von Bisanz,1517,1586,m,Ornans,Vallecas
11613,NULL,Thoillier de Guillebon; Albrecht Niklas (1610–    ); Kämmerer,1610,,m,Beauvais,
11614,NULL,Häckhl von Lichtenfels; Peter (1540–1607); Hofzahlmeister,1540,1607,m,,Lichtenfels im Waldviertel
11615,NULL,Rietmann; Johann (1550–1609); Hofzahlmeister,1550,1609,m,,
11616,NULL,Gordon; Johann (1600–1649); Kämmerer,1600,1649,m,Milton of Noth,Delft
11617,S,Devereux; Walter (1600–1640); Kämmerer,1600,1640,m,Dublin,Prag
11618,NULL,Barbitz von Fernemont; Johann Baptist (1555–1620); Reichshofrat,1555,1620,m,Utrecht,Köln am Rhein:Dominikanerkirche
11619,S,Barbitz von Fernemont; Johann Franz (1598–1667); Landeshauptmann von Glogau,1598,1667,m,Prag,Glogau in Niederschlesien
11620,NULL,Habsburg; Karl (1603–1628); Kämmerer,1603,1628,m,Prag,Wien
11621,NULL,Habsburg; Julius (1586–1609),1586,1609,m,Prag,Krumau in Böhmen:Minoritenkloster
11622,NULL,Markham; Greif (1565–1644); Kämmerer,1565,1644,m,Ollerton,Wien
11623,NULL,Erdődy; Niklas (1630–1693); Ban von Kroatien,1630,1693,m,Eberau im Burgenland,Zlaté Moravce
11624,NULL,Erdődy; Elisabeth (1620–    ),1620,,w,Eberau im Burgenland,
11625,S,Holk; Heinrich (1599–1633); Kämmerer,1599,1633,m,Kronborg auf Seeland,Troschenreuth im Vogtland
11626,NULL,Leutersam; Johann (1600–1647); Kämmerer,1600,1647,m,Enniger im Münsterland,Steinfurt am Sundern
11627,S,Laminger von Albenreuth; Wolfgang Wilhelm (1590–1635); Kämmerer,1590,1635,m,,Heiligenkreuz am Engelbach
11628,P,Laminger von Albenreuth; Wolfgang Maximilian (1634–1696); Kämmerer,1634,1696,m,Heiligenkreuz am Engelbach,Trhanov
11629,NULL,Kinsky; Ulrich (1583–1620); Kämmerer,1583,1620,m,Eger in Böhmen,
11630,NULL,Habsburg; Matthias (1594–1626); Kämmerer,1594,1626,m,Prag,Wien
11631,M,Askanien; Bernhard (1140–1212),1140,1212,m,,Bernburg an der Saale
11632,NULL,Askanien; Heinrich (1175–1252),1175,1252,m,,
11633,NULL,Askanien; Siegfried (1220–1298),1220,1298,m,,
11634,NULL,Askanien; Albrecht (1265–1316),1265,1316,m,,
11635,NULL,Askanien; Albrecht (1306–1362),1306,1362,m,,
11636,NULL,Askanien; Johann (1340–    ),1340,,m,,
11637,NULL,Askanien; Siegmund (1368–1405),1368,1405,m,,
11638,NULL,Askanien; Georg (1405–1474),1405,1474,m,,Dessau
11639,NULL,Askanien; Ernst (1450–1516),1450,1516,m,,
11640,S,Bronckhorst; Johann Jakob (1582–1630),1582,1630,m,Anholt in Westfalen,Freiburg im Breisgau
11641,NULL,Sternberg; Albrecht (1470–1530),1470,1530,m,Beneschau,
11642,NULL,Volkra; Ferdinand (1555–1604); Truchsess,1555,1604,m,Steinabrunn,Steinabrunn
11643,S,Dodoens van Joenckema; Reinprecht (1517–1585); Hofarzt,1517,1585,m,Mechelen,Leiden in Holland
11644,NULL,Tonner von Truppach; Johann (1540–1620); Reichshofrat,1540,1620,m,,Prag
11645,NULL,Jung; Johann (1425–1505),1425,1505,m,Zürich,Augsburg
11646,S,Jung; Ulrich (1478–1539),1478,1539,m,Ulm an der Donau,Augsburg
11647,P,Jung; Ambros (1471–1548),1471,1548,m,Ulm an der Donau,Augsburg
11648,NULL,Jung; Timotheus (1523–1580); Reichshofrat,1523,1580,m,Augsburg,Wien
11649,F,Podiebrad; Sidonia (1449–1510),1449,1510,w,Podiebrad,Tharandt
11650,NULL,Alessandrini; Peter (1470–    ),1470,,m,Trient,
11651,S,Alessandrini; Julius (1506–1590); Hofarzt,1506,1590,m,Trient,Civezzano
11652,NULL,Alessandrini; Johann (1540–    ); Reichshofrat,1540,,m,Trient,
11653,NULL,Griesstätter von Haselbach; Urban (1460–1514),1460,1514,m,Haselbach am Tannberg,Biburg an der Bina
11654,NULL,Griesstätter von Haselbach; Wolfgang (1490–1567); Propst von Berchtesgaden,1490,1567,m,Haselbach am Tannberg,Berchtesgaden:Franziskanerkirche
11655,NULL,Griesstätter von Haselbach; Johann (1500–1551),1500,1551,m,Haselbach am Tannberg,
11656,NULL,Griesstätter von Haselbach; Wolfgang (1530–1577); Reichshofrat,1530,1577,m,Haselbach am Tannberg,
11657,NULL,Meggau; Ferdinand Helfried (1581–1620); Kämmerer,1581,1620,m,Kreuzen im Mühlviertel,Prag
11658,NULL,Sprinzenstein; Johann Albrecht (1543–1598); Geheimer Rat,1543,1598,m,Neuhaus im Mühlviertel,Regelsbrunn
11659,NULL,Sprinzenstein; Johann Ernst (1574–1639); Kämmerer,1574,1639,m,Neuhaus im Mühlviertel,Gotthardswalde
11660,NULL,Puchheim; Pilgram (1280–    ),1280,,m,Puchheim im Hausruckviertel,
11661,F,Puchheim; Pilgram (1330–1396); Erzbischof von Salzburg,1330,1396,m,Puchheim im Hausruckviertel,Salzburg
11662,NULL,Stralendorff; Wolfgang Leopold (1590–1638); Kämmerer,1590,1638,m,Heiligenstadt im Eichsfeld,
11663,NULL,Stralendorff; Adolf Joachim (1590–    ); Kämmerer,1590,,m,,
11664,NULL,Neustetter genannt Stürmer; Sebastian (1500–1562),1500,1562,m,Neustädtlein am Forst,
11665,NULL,Neustetter genannt Stürmer; Sebastian (1540–1593),1540,1593,m,Schönfeld im Lochautal,
11666,M,Neustetter genannt Stürmer; Johann Christoph (1570–1638),1570,1638,m,Haßfurt,Bamberg
11667,NULL,Neustetter genannt Stürmer; Karl (1575–    ); Hofdiener,1575,,m,Haßfurt,
11668,F,Neustetter genannt Stürmer; Erasam (1523–1594),1523,1594,m,Schönfeld im Lochautal,Würzburg
11669,P,Truchsess von Waldburg; Eberhard (1420–1479),1420,1479,m,,
11670,P,Truchsess von Waldburg; Johann (1460–1510),1460,1510,m,,Wolfegg in Schwaben
11671,NULL,Leipa; Heinrich (1400–1469),1400,1469,m,,
11672,NULL,Leipa; Berthold (1430–1482),1430,1482,m,,
11673,NULL,Leipa; Heinrich (1460–1515),1460,1515,m,,
11674,NULL,Leipa; Vinzenz (1530–1579); Mundschenk,1530,1579,m,Kromau in Mähren,
11675,P,Hohenzollern; Dorothea (1430–1495); Königin von Dänemark,1430,1495,w,Trebitz an der Elbe,Kalundborg
11676,NULL,Schwarzbeck; Johann (1520–1576),1520,1576,m,Krems an der Donau,Krems an der Donau
11677,NULL,Schwarzbeck; Georg (1550–    ); Hofdiener,1550,,m,Krems an der Donau,
11678,NULL,Schwarzbeck; Leopold (1560–1612); Hofdiener,1560,1612,m,Krems an der Donau,Senftenberg im Kremstal
11679,NULL,Pruckhner; Johann (1550–    ); Hofdiener,1550,,m,,
11680,P,Truchsess von Waldburg; Andreas (1450–1511),1450,1511,m,,Herbertingen
11681,NULL,Puchheim; Niklas (1535–1591); Hofdiener,1535,1591,m,Krumbach in der Buckligen Welt,Raabs an der Thaya
11682,NULL,Puchheim; Georg Ehrenreich (1565–1612); Hofkriegsrat,1565,1612,m,Krumbach in der Buckligen Welt,
11693,NULL,Haugwitz; Alexander (1585–1649); Kämmerer,1585,1649,m,Piszkowice,
11694,NULL,Schlick; Anna Sidonia (1600–    ),1600,,w,,
11695,F,Hohenzollern; Anna (1487–1514); Königin von Dänemark,1487,1514,w,Kölln an der Spree,Kiel
11696,NULL,Tannberg; David (1530–    ); Kämmerer,1530,,m,,
11698,NULL,Hohenzollern; Ursula (1450–1508),1450,1508,w,Ansbach,Breslau
11699,NULL,Sebottendorf; Moritz (1550–    ); Truchsess,1550,,m,Weigwitz in Schlesien,
11700,S,Habsburg; Maria (1531–1581); Herzogin von Jülich,1531,1581,w,Prag,Hambach in der Eifel
11701,NULL,Sinzendorf; Joachim (1544–1594); Reichshofrat,1544,1594,m,Feyregg,Wien
11702,NULL,Sinzendorf; August (1590–1637); Kämmerer,1590,1637,m,Feyregg,Pöggstall im Waldviertel
11703,NULL,Sinzendorf; Leonhard (1420–    ),1420,,m,Sinzendorf im Traunviertel,
11704,S,Sinzendorf; Christian Ludwig (1669–1687),1669,1687,m,Wien,Siklós
11705,M,Sinzendorf; Philipp Ludwig (1671–1742); Kämmerer,1671,1742,m,Wien,Wien
11706,NULL,Sinzendorf; Reinprecht (1470–1521),1470,1521,m,Sinzendorf im Traunviertel,
11707,NULL,Sinzendorf; Pilgram (1518–1579),1518,1579,m,Fridau an der Pielach,
11708,NULL,Sinzendorf; Pilgram (1576–1632); Kämmerer,1576,1632,m,Fridau an der Pielach,Pöggstall im Waldviertel
11709,NULL,Sinzendorf; Lorenz (1460–1515),1460,1515,m,Sinzendorf im Traunviertel,Achleiten an der Krems
11710,NULL,Sinzendorf; Leonhard (1500–1548),1500,1548,m,Feyregg,
11711,NULL,Sinzendorf; Johann (1534–1594); Hofkammerrat,1534,1594,m,Feyregg,Vöslau
11712,NULL,Sinzendorf; Johann Karl (1612–    ),1612,,m,Wien,
11713,NULL,Sinzendorf; Karl Ludwig (1652–1722); Reichshofratsvizepräsident,1652,1722,m,Wien,Wien
11714,NULL,Sinzendorf; Ludwig Otto (1680–1711); Kämmerer,1680,1711,m,,
11715,S,Sinzendorf; Siegmund (1670–1747); Oberstkämmerer,1670,1747,m,,Wien
11716,NULL,Sinzendorf; Theoderich (1658–1706); Kämmerer,1658,1706,m,,
11717,NULL,Sinzendorf; August (1644–1676); Kämmerer,1644,1676,m,,
11718,NULL,Sinzendorf; Johann Weikhard (1656–1715); Kämmerer,1656,1715,m,,
11719,NULL,Sinzendorf; Adolf (1659–1700); Kämmerer,1659,1700,m,,Konstantinopel
11720,M,Trczka von Leipa; Burian (1525–1591); Landesunterkämmerer von Böhmen,1525,1591,m,,Swietla an der Sasau
11721,NULL,Trczka von Leipa; Wilhelm (1600–1634); Kämmerer,1600,1634,m,,
11722,NULL,Kolowrat; Harald (1570–1630); Kämmerer,1570,1630,m,Altsattler Bürgel,Kuttenberg
11723,NULL,Leskowetz; Bosel (1553–1603); Panetier,1553,1603,m,,
11724,NULL,Schlick; Kaspar (1505–1575),1505,1575,m,,
11725,NULL,Berka von der Duba; Johann (1525–1582),1525,1582,m,,
11726,NULL,Berka von der Duba; Alexander (1553–1599); Truchsess,1553,1599,m,,
11727,NULL,Berka von der Duba; Johann (1557–1578); Truchsess,1557,1578,m,,Lípa in Böhmen
11728,NULL,Berka von der Duba; Burian (1590–1626); Kämmerer,1590,1626,m,,
11729,NULL,Zinzendorf; Otto Heinrich (1605–1655); Kämmerer,1605,1655,m,Karlsbach im Mühlkreis,Wien
11730,NULL,Podiebrad; Hedwig (1508–1531),1508,1531,w,Oels,Liegnitz
11731,NULL,Trapp von Matsch; Georg (1586–1631); Kämmerer,1586,1631,m,Churburg,Eschenlohe im Ultental
11732,NULL,Füllinger; Karl (1590–    ); Kämmerer,1590,,m,,
11733,NULL,Dohna; Abraham (1530–1587),1530,1587,m,Kraschen,
11734,NULL,Dohna; Abraham (1561–1613); Geheimer Rat,1561,1613,m,Kraschen,Breslau
11735,NULL,Dohna; Heinrich (1559–1618),1559,1618,m,Kraschen,
11736,P,Herberstein; Johann Ferdinand (1640–1675),1640,1675,m,Herberstein an der Feistritz,
11737,NULL,Herberstein; Otto Heinrich (1595–1634); Kämmerer,1595,1634,m,,
11738,NULL,Herberstein; Karl Siegmund (1650–1687),1650,1687,m,,
11739,NULL,Herberstein; Ferdinand Ernst (1670–1720); Kämmerer,1670,1720,m,,Prag
11740,NULL,Prinz von Buchau; Daniel (1546–1608); Hofkammerrat,1546,1608,m,Löwenberg in Schlesien,Breslau
11741,M,Askanien; Albrecht (1180–1261),1180,1261,m,,Lehnin in der Zauche:Klosterkirche
11742,M,Askanien; Johann (1230–1285),1230,1285,m,,Wittenberg in Sachsen:Franziskanerkirche
11743,NULL,Askanien; Ehrenreich (    –    ),,,m,,
11744,NULL,Askanien; Ehrenreich (1316–1368),1316,1368,m,,
11745,NULL,Askanien; Ehrenreich (1354–1411),1354,1411,m,,
11746,NULL,Askanien; Bernhard (1380–1463),1380,1463,m,,
11747,NULL,Askanien; Johann (1439–1507),1439,1507,m,,
11748,NULL,Askanien; Mang (1470–1543),1470,1543,m,,
11749,NULL,Askanien; Franz (1510–1581),1510,1581,m,,
11750,NULL,Leyen von Argenschwang; Johann Meinhard (1570–1640),1570,1640,m,Argenschwang,
11751,NULL,Puchheim; Pilgram (1338–1380),1338,1380,m,Puchheim im Hausruckviertel,
11752,NULL,Puchheim; Johann (1375–1438),1375,1438,m,Göllersdorf,
11753,NULL,Puchheim; Johann (1410–1446),1410,1446,m,Göllersdorf,
11754,NULL,Puchheim; Neidhard (1440–1495),1440,1495,m,Göllersdorf,
11755,NULL,Puchheim; Johann (1480–1522),1480,1522,m,Göllersdorf,Neustadt im Steinfeld
11756,NULL,Puchheim; Michael Ludwig (1515–1580),1515,1580,m,Göllersdorf,
11757,NULL,Puchheim; Johann Christoph (1550–1598),1550,1598,m,Göllersdorf,
11758,NULL,Slavata; Michael (1574–1636); Kämmerer,1574,1636,m,Čestín,
11759,NULL,Schellhardt von Hartenfels; Bartlome (1550–    ); Sommelier,1550,,m,,
11760,NULL,Thurn; Pagan (1180–1241),1180,1241,m,,Chiaravalle Milanese
11761,NULL,Thurn; Salvator (1220–1281),1220,1281,m,,
11762,NULL,Thurn; Wolfgang (1260–1307),1260,1307,m,,Görz
11763,NULL,Thurn; Richard (1300–1354),1300,1354,m,,
11764,NULL,Thurn; Johann (1340–1412),1340,1412,m,,
11765,NULL,Thurn; Richard (1370–1431),1370,1431,m,,
11766,NULL,Thurn; Matthias (1400–1461),1400,1461,m,,
11767,NULL,Thurn; Hermann (1210–    ),1210,,m,,
11768,NULL,Thurn; Lombard (1240–1280),1240,1280,m,,
11769,NULL,Thurn; Phoebus (1270–1328),1270,1328,m,,
11770,NULL,Thurn; Johann (1305–1345),1305,1345,m,,
11771,NULL,Thurn; Phoebus (1340–1409),1340,1409,m,,
11772,NULL,Thurn; Thomas (1380–1451),1380,1451,m,,Bergamo
11773,NULL,Thurn; Phoebus (1420–1485),1420,1485,m,,
11774,NULL,Thurn; Johann (1464–1547),1464,1547,m,,
11775,NULL,Thurn; Franz (1518–1565),1518,1565,m,,Venedig
11776,NULL,Thurn; Reimund (1540–1623); Kämmerer,1540,1623,m,,Wien:Minoritenkirche
11777,NULL,Thurn; Johann Matthias (1605–    ),1605,,m,Bologna,
11778,NULL,Thurn; Karl Maximilian (1643–1716); Landeshauptmann von Mähren,1643,1716,m,,Znaim:Dominikanerkirche
11779,NULL,Thurn; Franz Phoebus (1600–    ); Kämmerer,1600,,m,Bologna,
11780,NULL,Thurn; Johann Philipp (1598–1650); Kämmerer,1598,1650,m,Bologna,
11781,NULL,Thurn; Ludwig Leopold (1627–1650),1627,1650,m,,Florenz
11782,S,Thurn; Franz Ulrich (1629–1695); Kämmerer,1629,1695,m,Sagra an der Isnitz,Venedig
11783,NULL,Thurn; Reimund Bonifaz (1638–1714); Kämmerer,1638,1714,m,,
11784,NULL,Thurn; Philipp Jakob (1639–1704),1639,1704,m,,Venedig
11785,NULL,Thurn; Niklas Pagan (1643–    ),1643,,m,,
11786,NULL,Thurn; Napoleon (1215–1278),1215,1278,m,,Baradello
11787,NULL,Thurn; Konrad (1251–1304),1251,1304,m,,Mailand
11788,NULL,Thurn; Flormund (1290–1350),1290,1350,m,,
11789,NULL,Thurn; Otto (1330–1385),1330,1385,m,,
11790,NULL,Thurn; Niklas (1370–1436),1370,1436,m,,
11791,NULL,Thurn; Niklas (1410–    ),1410,,m,,
11792,NULL,Thurn; Ludwig (1450–1511),1450,1511,m,,Udine
11793,NULL,Thurn; Hieronym (1490–    ),1490,,m,,
11794,NULL,Thurn; Siegmund (1528–1601); Truchsess,1528,1601,m,Venedig,Görz:Franziskanerkloster
11795,NULL,Thurn; Karl (1560–1607),1560,1607,m,Thybein,
11796,NULL,Thurn; Siegmund (1595–1643); Kämmerer,1595,1643,m,Thybein,
11797,NULL,Thurn; Simon (1605–    ),1605,,m,Thybein,
11798,NULL,Thurn; Karl (1622–1689); Kämmerer,1622,1689,m,Thybein,Graz
11799,NULL,Thurn; Hektor (1630–1678); Kämmerer,1630,1678,m,Thybein,Straßburg im Elsass
11800,P,Habsburg; Siegmund Franz (1630–1665); Landesherr von Tirol,1630,1665,m,Innsbruck,Innsbruck:Jesuitenkirche
11801,F,Hattstein; Johann (1447–1546); Großprior des Malteserordens in Deutschland,1447,1546,m,Usingen im Taunus,Speyer
11802,NULL,Ebersdorf; Reinprecht (1500–1554),1500,1554,m,,Wien
11803,P,Krusics; Peter (1491–1537),1491,1537,m,Mährenfels in Istrien,Klissa in Dalmatien
11804,NULL,Schober; Georg (1529–1597),1529,1597,m,,Sankt Peter in Krain
11805,NULL,Flach von Schwarzenberg; Philipp (1525–1594),1525,1594,m,,Heitersheim im Breisgau
11806,NULL,Riedesel; Philipp (1545–1598); Hofkriegsrat,1545,1598,m,Camberg im Taunus,Freiburg im Breisgau
11807,S,Riedesel; Hermann (1626–1663); Hofkriegsrat,1626,1663,m,Eisenbach am Vogelsberg,
11808,NULL,Tettau; Karl (1555–1609),1555,1609,m,,Mailberg im Weinviertel
11809,NULL,Römer von Maretsch; Christoph Siegmund (1520–1576),1520,1576,m,,Triest
11810,NULL,Puchheim; Albrecht (1315–1384); Landeshauptmann der Steiermark,1315,1384,m,Puchheim im Hausruckviertel,Litschau im Waldviertel
11811,NULL,Puchheim; Albrecht (1360–1430),1360,1430,m,Raabs an der Thaya,
11812,NULL,Puchheim; Georg (1390–1458),1390,1458,m,Raabs an der Thaya,
11813,NULL,Puchheim; Balthasar (1440–1504),1440,1504,m,Raabs an der Thaya,
11814,NULL,Puchheim; Georg (1475–1531),1475,1531,m,Krumbach in der Buckligen Welt,
11815,NULL,Puchheim; Johann (1445–1518),1445,1518,m,Raabs an der Thaya,
11816,NULL,Puchheim; Wilhelm (1480–1534),1480,1534,m,Raabs an der Thaya,
11817,NULL,Puchheim; Pilgram (1475–1542),1475,1542,m,Raabs an der Thaya,
11818,NULL,Puchheim; Andreas (1530–1592); Panetier,1530,1592,m,Raabs an der Thaya,
11819,NULL,Puchheim; Otto Heinrich (1525–1578); Hofkriegsrat,1525,1578,m,Raabs an der Thaya,Wien
11820,NULL,Saurau; Georg (1400–1460),1400,1460,m,Saurau im Murtal,
11821,NULL,Saurau; Wilhelm (1430–1475); Truchsess,1430,1475,m,Saurau im Murtal,
11822,NULL,Saurau; Erasam (1470–1532),1470,1532,m,,
11823,NULL,Saurau; Alban (1525–1579),1525,1579,m,,
11824,NULL,Saurau; Christoph (1550–    ),1550,,m,,
11825,NULL,Saurau; Otto (1580–1609),1580,1609,m,,
11826,NULL,Saurau; Christoph Alban (1605–1656); Kämmerer,1605,1656,m,,Graz
11827,NULL,Saurau; Johann Wilhelm (1585–    ),1585,,m,,
11828,NULL,Saurau; Ehrenreich (1610–    ); Kämmerer,1610,,m,,
11829,NULL,Saurau; Gilg (1500–    ),1500,,m,,
11830,NULL,Saurau; Erasam (1535–    ),1535,,m,,
11831,NULL,Saurau; Johann (1440–1476),1440,1476,m,Saurau im Murtal,
11832,NULL,Saurau; Wolfgang (1470–1521),1470,1521,m,Ligist,
11833,NULL,Saurau; Franz (1500–1555),1500,1555,m,Ligist,
11834,NULL,Saurau; Georg (1530–1568),1530,1568,m,Ligist,
11835,NULL,Saurau; Friedrich (1450–    ),1450,,m,Saurau im Murtal,
11836,NULL,Saurau; Michael (1480–1543),1480,1543,m,,
11837,NULL,Saurau; Johann (1490–    ),1490,,m,,
